,Date,Country/Region,Confirmed,Deaths,Recovered,Active
105,2020-01-22,Malaysia,0,0.0,0.0,0.0
292,2020-01-23,Malaysia,0,0.0,0.0,0.0
479,2020-01-24,Malaysia,0,0.0,0.0,0.0
666,2020-01-25,Malaysia,3,0.0,0.0,0.0
853,2020-01-26,Malaysia,4,0.0,0.0,0.0
1040,2020-01-27,Malaysia,4,0.0,0.0,0.0
1227,2020-01-28,Malaysia,4,0.0,0.0,0.0
1414,2020-01-29,Malaysia,7,0.0,0.0,0.0
1601,2020-01-30,Malaysia,8,0.0,0.0,0.0
1788,2020-01-31,Malaysia,8,0.0,0.0,0.0
1975,2020-02-01,Malaysia,8,0.0,0.0,0.0
2162,2020-02-02,Malaysia,8,0.0,0.0,0.0
2349,2020-02-03,Malaysia,8,0.0,0.0,0.0
2536,2020-02-04,Malaysia,10,0.0,0.0,0.0
2723,2020-02-05,Malaysia,12,0.0,0.0,0.0
2910,2020-02-06,Malaysia,12,0.0,0.0,0.0
3097,2020-02-07,Malaysia,12,0.0,1.0,0.0
3284,2020-02-08,Malaysia,16,0.0,1.0,0.0
3471,2020-02-09,Malaysia,16,0.0,1.0,0.0
3658,2020-02-10,Malaysia,18,0.0,1.0,0.0
3845,2020-02-11,Malaysia,18,0.0,3.0,0.0
4032,2020-02-12,Malaysia,18,0.0,3.0,0.0
4219,2020-02-13,Malaysia,19,0.0,3.0,0.0
4406,2020-02-14,Malaysia,19,0.0,3.0,0.0
4593,2020-02-15,Malaysia,22,0.0,7.0,0.0
4780,2020-02-16,Malaysia,22,0.0,7.0,0.0
4967,2020-02-17,Malaysia,22,0.0,7.0,0.0
5154,2020-02-18,Malaysia,22,0.0,13.0,0.0
5341,2020-02-19,Malaysia,22,0.0,15.0,0.0
5528,2020-02-20,Malaysia,22,0.0,15.0,0.0
5715,2020-02-21,Malaysia,22,0.0,15.0,0.0
5902,2020-02-22,Malaysia,22,0.0,15.0,0.0
6089,2020-02-23,Malaysia,22,0.0,15.0,0.0
6276,2020-02-24,Malaysia,22,0.0,18.0,0.0
6463,2020-02-25,Malaysia,22,0.0,18.0,0.0
6650,2020-02-26,Malaysia,22,0.0,18.0,0.0
6837,2020-02-27,Malaysia,23,0.0,18.0,0.0
7024,2020-02-28,Malaysia,23,0.0,18.0,0.0
7211,2020-02-29,Malaysia,25,0.0,18.0,0.0
7398,2020-03-01,Malaysia,29,0.0,18.0,0.0
7585,2020-03-02,Malaysia,29,0.0,18.0,0.0
7772,2020-03-03,Malaysia,36,0.0,22.0,0.0
7959,2020-03-04,Malaysia,50,0.0,22.0,0.0
8146,2020-03-05,Malaysia,50,0.0,22.0,0.0
8333,2020-03-06,Malaysia,83,0.0,22.0,0.0
8520,2020-03-07,Malaysia,93,0.0,23.0,0.0
8707,2020-03-08,Malaysia,99,0.0,24.0,0.0
8894,2020-03-09,Malaysia,117,0.0,24.0,0.0
9081,2020-03-10,Malaysia,129,0.0,24.0,0.0
9268,2020-03-11,Malaysia,149,0.0,26.0,0.0
9455,2020-03-12,Malaysia,149,0.0,26.0,0.0
9642,2020-03-13,Malaysia,197,0.0,26.0,0.0
9829,2020-03-14,Malaysia,238,0.0,35.0,0.0
10016,2020-03-15,Malaysia,428,0.0,42.0,0.0
10203,2020-03-16,Malaysia,566,0.0,42.0,0.0
10390,2020-03-17,Malaysia,673,0.0,49.0,0.0
10577,2020-03-18,Malaysia,790,0.0,60.0,0.0
10764,2020-03-19,Malaysia,900,0.0,75.0,0.0
10951,2020-03-20,Malaysia,1030,0.0,87.0,0.0
11138,2020-03-21,Malaysia,1183,0.0,114.0,0.0
11325,2020-03-22,Malaysia,1306,0.0,139.0,0.0
11512,2020-03-23,Malaysia,1518,0.0,139.0,0.0
11699,2020-03-24,Malaysia,1624,0.0,183.0,0.0
11886,2020-03-25,Malaysia,1796,0.0,199.0,0.0
12073,2020-03-26,Malaysia,2031,0.0,215.0,0.0
12260,2020-03-27,Malaysia,2161,0.0,259.0,0.0
12447,2020-03-28,Malaysia,2320,0.0,320.0,0.0
12634,2020-03-29,Malaysia,2470,0.0,388.0,0.0
12821,2020-03-30,Malaysia,2626,0.0,479.0,0.0
13008,2020-03-31,Malaysia,2766,0.0,537.0,0.0
13195,2020-04-01,Malaysia,2908,0.0,645.0,0.0
13382,2020-04-02,Malaysia,3116,0.0,767.0,0.0
13569,2020-04-03,Malaysia,3333,0.0,827.0,0.0
13756,2020-04-04,Malaysia,3483,0.0,915.0,0.0
13943,2020-04-05,Malaysia,3662,0.0,1005.0,0.0
14130,2020-04-06,Malaysia,3793,0.0,1241.0,0.0
14317,2020-04-07,Malaysia,3963,0.0,1321.0,0.0
14504,2020-04-08,Malaysia,4119,0.0,1487.0,0.0
14691,2020-04-09,Malaysia,4228,0.0,1608.0,0.0
14878,2020-04-10,Malaysia,4346,0.0,1830.0,0.0
15065,2020-04-11,Malaysia,4530,0.0,1995.0,0.0
15252,2020-04-12,Malaysia,4683,0.0,2108.0,0.0
15439,2020-04-13,Malaysia,4817,0.0,2276.0,0.0
15626,2020-04-14,Malaysia,4987,0.0,2478.0,0.0
15813,2020-04-15,Malaysia,5072,0.0,2647.0,0.0
16000,2020-04-16,Malaysia,5182,0.0,2766.0,0.0
16187,2020-04-17,Malaysia,5251,0.0,2967.0,0.0
16374,2020-04-18,Malaysia,5305,0.0,3102.0,0.0
16561,2020-04-19,Malaysia,5389,0.0,3197.0,0.0
16748,2020-04-20,Malaysia,5425,0.0,3295.0,0.0
16935,2020-04-21,Malaysia,5482,0.0,3349.0,0.0
17122,2020-04-22,Malaysia,5532,0.0,3452.0,0.0
17309,2020-04-23,Malaysia,5603,0.0,3542.0,0.0
17496,2020-04-24,Malaysia,5691,0.0,3663.0,0.0
17683,2020-04-25,Malaysia,5742,0.0,3762.0,0.0
17870,2020-04-26,Malaysia,5780,0.0,3862.0,0.0
18057,2020-04-27,Malaysia,5820,0.0,3957.0,0.0
18244,2020-04-28,Malaysia,5851,0.0,4032.0,0.0
18431,2020-04-29,Malaysia,5945,0.0,4087.0,0.0
18618,2020-04-30,Malaysia,6002,0.0,4171.0,0.0
18805,2020-05-01,Malaysia,6071,0.0,4210.0,0.0
18992,2020-05-02,Malaysia,6176,0.0,4326.0,0.0
19179,2020-05-03,Malaysia,6298,0.0,4413.0,0.0
19366,2020-05-04,Malaysia,6353,0.0,4484.0,0.0
19553,2020-05-05,Malaysia,6383,0.0,4567.0,0.0
19740,2020-05-06,Malaysia,6428,0.0,4702.0,0.0
19927,2020-05-07,Malaysia,6467,0.0,4776.0,0.0
20114,2020-05-08,Malaysia,6535,0.0,4864.0,0.0
20301,2020-05-09,Malaysia,6589,0.0,4929.0,0.0
20488,2020-05-10,Malaysia,6656,0.0,5025.0,0.0
20675,2020-05-11,Malaysia,6726,0.0,5113.0,0.0
20862,2020-05-12,Malaysia,6742,0.0,5223.0,0.0
21049,2020-05-13,Malaysia,6779,0.0,5281.0,0.0
21236,2020-05-14,Malaysia,6819,0.0,5351.0,0.0
21423,2020-05-15,Malaysia,6855,0.0,5439.0,0.0
21610,2020-05-16,Malaysia,6872,0.0,5512.0,0.0
21797,2020-05-17,Malaysia,6894,0.0,5571.0,0.0
21984,2020-05-18,Malaysia,6941,0.0,5615.0,0.0
22171,2020-05-19,Malaysia,6978,0.0,5646.0,0.0
22358,2020-05-20,Malaysia,7009,0.0,5706.0,0.0
22545,2020-05-21,Malaysia,7059,0.0,5796.0,0.0
22732,2020-05-22,Malaysia,7137,0.0,5859.0,0.0
22919,2020-05-23,Malaysia,7185,0.0,5912.0,0.0
23106,2020-05-24,Malaysia,7245,0.0,5945.0,0.0
23293,2020-05-25,Malaysia,7417,0.0,5979.0,0.0
23480,2020-05-26,Malaysia,7604,0.0,6041.0,0.0
23667,2020-05-27,Malaysia,7619,0.0,6083.0,0.0
23854,2020-05-28,Malaysia,7629,0.0,6169.0,0.0
24041,2020-05-29,Malaysia,7732,0.0,6235.0,0.0
24228,2020-05-30,Malaysia,7762,0.0,6330.0,0.0
24415,2020-05-31,Malaysia,7819,0.0,6353.0,0.0
24602,2020-06-01,Malaysia,7857,0.0,6404.0,0.0
24789,2020-06-02,Malaysia,7877,0.0,6470.0,0.0
24976,2020-06-03,Malaysia,7970,0.0,6531.0,0.0
25163,2020-06-04,Malaysia,8247,0.0,6559.0,0.0
25350,2020-06-05,Malaysia,8266,0.0,6610.0,0.0
25537,2020-06-06,Malaysia,8303,0.0,6635.0,0.0
25724,2020-06-07,Malaysia,8322,0.0,6674.0,0.0
25911,2020-06-08,Malaysia,8329,0.0,6694.0,0.0
26098,2020-06-09,Malaysia,8336,0.0,6975.0,0.0
26285,2020-06-10,Malaysia,8338,0.0,7014.0,0.0
26472,2020-06-11,Malaysia,8369,0.0,7065.0,0.0
26659,2020-06-12,Malaysia,8402,0.0,7168.0,0.0
26846,2020-06-13,Malaysia,8445,0.0,7311.0,0.0
27033,2020-06-14,Malaysia,8453,0.0,7346.0,0.0
27220,2020-06-15,Malaysia,8494,0.0,7400.0,0.0
27407,2020-06-16,Malaysia,8505,0.0,7733.0,0.0
27594,2020-06-17,Malaysia,8515,0.0,7873.0,0.0
27781,2020-06-18,Malaysia,8529,0.0,8000.0,0.0
27968,2020-06-19,Malaysia,8535,0.0,8070.0,0.0
28155,2020-06-20,Malaysia,8556,0.0,8146.0,0.0
28342,2020-06-21,Malaysia,8572,0.0,8156.0,0.0
28529,2020-06-22,Malaysia,8587,0.0,8177.0,0.0
28716,2020-06-23,Malaysia,8590,0.0,8186.0,0.0
28903,2020-06-24,Malaysia,8596,0.0,8231.0,0.0
29090,2020-06-25,Malaysia,8600,0.0,8271.0,0.0
29277,2020-06-26,Malaysia,8606,0.0,8294.0,0.0
29464,2020-06-27,Malaysia,8616,0.0,8308.0,0.0
29651,2020-06-28,Malaysia,8634,0.0,8318.0,0.0
29838,2020-06-29,Malaysia,8637,0.0,8334.0,0.0
30025,2020-06-30,Malaysia,8639,0.0,8354.0,0.0
30212,2020-07-01,Malaysia,8640,0.0,8375.0,0.0
30399,2020-07-02,Malaysia,8643,0.0,8437.0,0.0
30586,2020-07-03,Malaysia,8648,0.0,8446.0,0.0
30773,2020-07-04,Malaysia,8658,0.0,8461.0,0.0
30960,2020-07-05,Malaysia,8663,0.0,8465.0,0.0
31147,2020-07-06,Malaysia,8668,0.0,8476.0,0.0
31334,2020-07-07,Malaysia,8674,0.0,8481.0,0.0
31521,2020-07-08,Malaysia,8677,0.0,8486.0,0.0
31708,2020-07-09,Malaysia,8683,0.0,8499.0,0.0
31895,2020-07-10,Malaysia,8696,0.0,8511.0,0.0
32082,2020-07-11,Malaysia,8704,0.0,8515.0,0.0
32269,2020-07-12,Malaysia,8718,0.0,8519.0,0.0
32456,2020-07-13,Malaysia,8725,0.0,8520.0,0.0
32643,2020-07-14,Malaysia,8729,0.0,8524.0,0.0
32830,2020-07-15,Malaysia,8734,0.0,8526.0,0.0
33017,2020-07-16,Malaysia,8737,0.0,8538.0,0.0
33204,2020-07-17,Malaysia,8755,0.0,8541.0,0.0
33391,2020-07-18,Malaysia,8764,0.0,8546.0,0.0
33578,2020-07-19,Malaysia,8779,0.0,8553.0,0.0
33765,2020-07-20,Malaysia,8800,0.0,8555.0,0.0
33952,2020-07-21,Malaysia,8815,0.0,8562.0,0.0
34139,2020-07-22,Malaysia,8831,0.0,8566.0,0.0
34326,2020-07-23,Malaysia,8840,0.0,8574.0,0.0
34513,2020-07-24,Malaysia,8861,0.0,8577.0,0.0
34700,2020-07-25,Malaysia,8884,0.0,8594.0,0.0
34887,2020-07-26,Malaysia,8897,0.0,8600.0,0.0
35074,2020-07-27,Malaysia,8904,0.0,8601.0,0.0
35261,2020-07-28,Malaysia,8943,0.0,8607.0,0.0
35448,2020-07-29,Malaysia,8956,0.0,8612.0,0.0
35635,2020-07-30,Malaysia,8964,0.0,8617.0,0.0
35822,2020-07-31,Malaysia,8976,0.0,8644.0,0.0
36009,2020-08-01,Malaysia,8985,0.0,8647.0,0.0
36196,2020-08-02,Malaysia,8999,0.0,8664.0,0.0
36383,2020-08-03,Malaysia,9001,0.0,8668.0,0.0
36570,2020-08-04,Malaysia,9002,0.0,8684.0,0.0
36757,2020-08-05,Malaysia,9023,0.0,8702.0,0.0
36944,2020-08-06,Malaysia,9038,0.0,8713.0,0.0
37131,2020-08-07,Malaysia,9063,0.0,8728.0,0.0
37318,2020-08-08,Malaysia,9070,0.0,8775.0,0.0
37505,2020-08-09,Malaysia,9083,0.0,8784.0,0.0
37692,2020-08-10,Malaysia,9094,0.0,8803.0,0.0
37879,2020-08-11,Malaysia,9103,0.0,8809.0,0.0
38066,2020-08-12,Malaysia,9114,0.0,8817.0,0.0
38253,2020-08-13,Malaysia,9129,0.0,8821.0,0.0
38440,2020-08-14,Malaysia,9149,0.0,8828.0,0.0
38627,2020-08-15,Malaysia,9175,0.0,8831.0,0.0
38814,2020-08-16,Malaysia,9200,0.0,8859.0,0.0
39001,2020-08-17,Malaysia,9212,0.0,8876.0,0.0
39188,2020-08-18,Malaysia,9219,0.0,8902.0,0.0
39375,2020-08-19,Malaysia,9235,0.0,8925.0,0.0
39562,2020-08-20,Malaysia,9240,0.0,8932.0,0.0
39749,2020-08-21,Malaysia,9249,0.0,8945.0,0.0
39936,2020-08-22,Malaysia,9257,0.0,8949.0,0.0
40123,2020-08-23,Malaysia,9267,0.0,8959.0,0.0
40310,2020-08-24,Malaysia,9274,0.0,8965.0,0.0
40497,2020-08-25,Malaysia,9285,0.0,8971.0,0.0
40684,2020-08-26,Malaysia,9291,0.0,8978.0,0.0
40871,2020-08-27,Malaysia,9296,0.0,8994.0,0.0
41058,2020-08-28,Malaysia,9306,0.0,9030.0,0.0
41245,2020-08-29,Malaysia,9317,0.0,9038.0,0.0
41432,2020-08-30,Malaysia,9334,0.0,9048.0,0.0
41619,2020-08-31,Malaysia,9340,0.0,9054.0,0.0
41806,2020-09-01,Malaysia,9354,0.0,9075.0,0.0
41993,2020-09-02,Malaysia,9360,0.0,9079.0,0.0
42180,2020-09-03,Malaysia,9374,0.0,9083.0,0.0
42367,2020-09-04,Malaysia,9385,0.0,9092.0,0.0
42554,2020-09-05,Malaysia,9391,0.0,9113.0,0.0
42741,2020-09-06,Malaysia,9397,0.0,9115.0,0.0
42928,2020-09-07,Malaysia,9459,0.0,9124.0,0.0
43115,2020-09-08,Malaysia,9559,0.0,9136.0,0.0
43302,2020-09-09,Malaysia,9583,0.0,9143.0,0.0
43489,2020-09-10,Malaysia,9628,0.0,9167.0,0.0
43676,2020-09-11,Malaysia,9810,0.0,9181.0,0.0
43863,2020-09-12,Malaysia,9868,0.0,9189.0,0.0
44050,2020-09-13,Malaysia,9915,0.0,9196.0,0.0
44237,2020-09-14,Malaysia,9946,0.0,9203.0,0.0
44424,2020-09-15,Malaysia,9969,0.0,9209.0,0.0
44611,2020-09-16,Malaysia,10031,0.0,9235.0,0.0
44798,2020-09-17,Malaysia,10052,0.0,9250.0,0.0
44985,2020-09-18,Malaysia,10147,0.0,9264.0,0.0
45172,2020-09-19,Malaysia,10167,0.0,9315.0,0.0
45359,2020-09-20,Malaysia,10219,0.0,9355.0,0.0
45546,2020-09-21,Malaysia,10276,0.0,9395.0,0.0
45733,2020-09-22,Malaysia,10358,0.0,9563.0,0.0
45920,2020-09-23,Malaysia,10505,0.0,9602.0,0.0
46107,2020-09-24,Malaysia,10576,0.0,9666.0,0.0
46294,2020-09-25,Malaysia,10687,0.0,9696.0,0.0
46481,2020-09-26,Malaysia,10769,0.0,9785.0,0.0
46668,2020-09-27,Malaysia,10919,0.0,9835.0,0.0
46855,2020-09-28,Malaysia,11034,0.0,9889.0,0.0
47042,2020-09-29,Malaysia,11135,0.0,9939.0,0.0
47229,2020-09-30,Malaysia,11224,0.0,9967.0,0.0
47416,2020-10-01,Malaysia,11484,0.0,10014.0,0.0
47603,2020-10-02,Malaysia,11771,0.0,10095.0,0.0
47790,2020-10-03,Malaysia,12088,0.0,10216.0,0.0
47977,2020-10-04,Malaysia,12381,0.0,10283.0,0.0
48164,2020-10-05,Malaysia,12813,0.0,10340.0,0.0
48351,2020-10-06,Malaysia,13504,0.0,10427.0,0.0
48538,2020-10-07,Malaysia,13993,0.0,10501.0,0.0
48725,2020-10-08,Malaysia,14368,0.0,10519.0,0.0
48912,2020-10-09,Malaysia,14722,0.0,10707.0,0.0
49099,2020-10-10,Malaysia,15096,0.0,10780.0,0.0
49286,2020-10-11,Malaysia,15657,0.0,10913.0,0.0
49473,2020-10-12,Malaysia,16220,0.0,11022.0,0.0
49660,2020-10-13,Malaysia,16880,0.0,11372.0,0.0
49847,2020-10-14,Malaysia,17540,0.0,11605.0,0.0
50034,2020-10-15,Malaysia,18129,0.0,12014.0,0.0
50221,2020-10-16,Malaysia,18758,0.0,12259.0,0.0
50408,2020-10-17,Malaysia,19627,0.0,12561.0,0.0
50595,2020-10-18,Malaysia,20498,0.0,13262.0,0.0
50782,2020-10-19,Malaysia,21363,0.0,13717.0,0.0
50969,2020-10-20,Malaysia,22225,0.0,14351.0,0.0
